id,character,reading,sound_elem,is_primary
307,"噶","갈",,1
308,"嶱","갈",,1
309,"曷","갈",,1
310,"楬","갈",,1
311,"渴","갈",,1
312,"硈","갈",,1
313,"硈","할",,0
314,"碣","갈",,1
315,"秸","갈",,1
316,"竭","갈",,1
317,"羯","갈",,1
318,"葛","갈",,1
319,"蝎","갈",,1
320,"蠍","갈",,1
321,"褐","갈",,1
322,"鞨","갈",,1
323,"勘","감",,1
324,"坎","감",,1
325,"坩","감",,1
326,"埳","감",,1
327,"堪","감",,1
328,"嵁","감",,1
329,"嵌","감",,1
330,"弇","감",,1
331,"感","감",,1
332,"憨","감",,1
333,"憾","감",,1
334,"戡","감",,1
335,"撼","감",,1
336,"敢","감",,1
337,"柑","감",,1
338,"橄","감",,1
339,"欿","감",,1
340,"歛","감",,1
341,"泔","감",,1
342,"淦","감",,1
343,"減","감",,1
344,"澉","감",,1
345,"玪","감",,1
346,"玪","림",,0
347,"玪","임",,0
348,"瑊","감",,1
349,"瑊","함",,0
350,"甘","감",,1
351,"疳","감",,1
352,"監","감",,1
353,"瞰","감",,1
354,"矙","감",,1
355,"紺","감",,1
356,"轗","감",,1
357,"邯","감",,1
358,"邯","한",,0
359,"酣","감",,1
360,"鑑","감",,1
361,"鑒","감",,1
362,"鹻","감",,1
363,"龕","감",,1
364,"匣","갑",,1
365,"岬","갑",,1
366,"甲","갑",,1
367,"胛","갑",,1
368,"鉀","갑",,1
369,"閘","갑",,1
370,"傋","강",,1
371,"僵","강",,1
372,"剛","강",,1
373,"堈","강",,1
374,"壃","강",,1
375,"嫝","강",,1
376,"岡","강",,1
377,"崗","강",,1
378,"強","강",,1
379,"强","강",,1
380,"彊","강",,1
381,"忼","강",,1
382,"悾","강",,1
383,"慷","강",,1
384,"扛","강",,1
385,"掆","강",,1
386,"杠","강",,1
387,"棡","강",,1
388,"橿","강",,1
389,"殭","강",,1
390,"漮","강",,1
391,"焵","강",,1
392,"玒","강",,1
393,"畺","강",,1
394,"疆","강",,1
395,"矼","강",,1
396,"穅","강",,1
397,"糠","강",,1
398,"絳","강",,1
399,"綱","강",,1
400,"繈","강",,1
401,"罡","강",,1
402,"羌","강",,1
403,"羫","강",,1
404,"腔","강",,1
405,"舡","강",,1
406,"茳","강",,1
407,"薑","강",,1
408,"襁","강",,1
409,"講","강",,1
410,"豇","강",,1
411,"跭","강",,1
412,"鋼","강",,1
413,"鎠","강",,1
414,"鏹","강",,1
415,"降","강",,1
416,"降","항",,0
417,"韁","강",,1
418,"顜","강",,1
419,"鱇","강",,1
420,"介","개",,1
421,"价","개",,1
422,"個","개",,1
423,"凱","개",,1
424,"剴","개",,1
425,"勓","개",,1
426,"匃","개",,1
427,"塏","개",,1
428,"忋","개",,1
429,"愷","개",,1
430,"愾","개",,1
431,"慨","개",,1
432,"揩","개",,1
433,"摡","개",,1
434,"改","개",,1
435,"暟","개",,1
436,"槩","개",,1
437,"槪","개",,1
438,"湝","개",,1
439,"湝","해",,0
440,"漑","개",,1
441,"玠","개",,1
442,"疥","개",,1
443,"皆","개",,1
444,"盖","개",,1
445,"磕","개",,1
446,"箇","개",,1
447,"芥","개",,1
448,"蓋","개",,1
449,"衸","개",,1
450,"衸","해",,0
451,"豈","개",,1
452,"豈","기",,0
453,"鎧","개",,1
454,"開","개",,1
455,"闓","개",,1
456,"喀","객",,1
457,"客","객",,1
458,"坑","갱",,1
459,"更","갱",,1
460,"更","경",,0
461,"硜","갱",,1
462,"粳","갱",,1
463,"羹","갱",,1
464,"賡","갱",,1
465,"鏗","갱",,1
466,"醵","갹",,1
467,"佉","거",,1
468,"佉","구",,0
469,"倨","거",,1
470,"去","거",,1
471,"呿","거",,1
472,"姖","거",,1
473,"居","거",,1
474,"岠","거",,1
475,"巨","거",,1
476,"抾","거",,1
477,"抾","겁",,0
478,"拒","거",,1
479,"据","거",,1
480,"據","거",,1
481,"擧","거",,1
482,"昛","거",,1
483,"柜","거",,1
484,"欅","거",,1
485,"歫","거",,1
486,"渠","거",,1
487,"炬","거",,1
488,"祛","거",,1
489,"秬","거",,1
490,"筥","거",,1
491,"籧","거",,1
492,"胠","거",,1
493,"腒","거",,1
494,"苣","거",,1
495,"莒","거",,1
496,"蕖","거",,1
497,"蘧","거",,1
498,"袪","거",,1
499,"裾","거",,1
500,"距","거",,1
501,"踞","거",,1
502,"車","차",,1
503,"遽","거",,1
504,"鉅","거",,1
505,"鋸","거",,1
506,"駏","거",,1
507,"乹","건",,1
508,"件","건",,1
509,"囝","건",,1
510,"巾","건",,1
511,"愆","건",,1
512,"揵","건",,1
513,"搴","건",,1
514,"攓","건",,1
515,"楗","건",,1
516,"湕","건",,1
517,"漧","건",,1
518,"犍","건",,1
519,"睷","건",,1
520,"腱","건",,1
521,"虔","건",,1
522,"褰","건",,1
523,"謇","건",,1
524,"踺","건",,1
525,"蹇","건",,1
526,"鍵","건",,1
527,"鞬","건",,1
528,"騫","건",,1
529,"鶱","건",,1
530,"乞","걸",,1
531,"乬","걸",,1
532,"傑","걸",,1
533,"嵥","걸",,1
534,"朅","걸",,1
535,"杰","걸",,1
536,"桀","걸",,1
537,"榤","걸",,1
538,"儉","검",,1
539,"劍","검",,1
540,"劒","검",,1
541,"撿","검",,1
542,"檢","검",,1
543,"瞼","검",,1
544,"芡","검",,1
545,"鈐","검",,1
546,"黔","검",,1
547,"刦","겁",,1
548,"刧","겁",,1
549,"劫","겁",,1
550,"怯","겁",,1
551,"迲","겁",,1
552,"偈","게",,1
553,"憩","게",,1
554,"揭","게",,1
555,"挌","격",,1
556,"搹","격",,1
557,"擊","격",,1
558,"格","격",,1
559,"檄","격",,1
560,"毄","격",,1
561,"激","격",,1
562,"膈","격",,1
563,"覡","격",,1
564,"闃","격",,1
565,"隔","격",,1
566,"骼","격",,1
567,"鬲","격",,1
568,"鴃","격",,1
569,"堅","견",,1
570,"掔","견",,1
571,"汧","견",,1
572,"涀","견",,1
573,"牽","견",,1
574,"犬","견",,1
575,"狷","견",,1
576,"甄","견",,1
577,"畎","견",,1
578,"筧","견",,1
579,"絹","견",,1
580,"縳","견",,1
581,"繭","견",,1
582,"繾","견",,1
583,"羂","견",,1
584,"肩","견",,1
585,"蠲","견",,1
586,"見","견",,1
587,"見","현",,0
588,"詃","견",,1
589,"譴","견",,1
590,"遣","견",,1
591,"鄄","견",,1
592,"鰹","견",,1
593,"鵑","견",,1
594,"抉","결",,1
595,"決","결",,1
596,"洯","결",,1
597,"炔","결",,1
598,"焆","결",,1
599,"玦","결",,1
600,"缺","결",,1
601,"觖","결",,1
602,"訣","결",,1
603,"迼","결",,1
604,"鍥","결",,1
605,"闋","결",,1
606,"傔","겸",,1
607,"兼","겸",,1
608,"嗛","겸",,1
609,"岒","겸",,1
610,"嵰","겸",,1
611,"慊","겸",,1
612,"拑","겸",,1
613,"槏","겸",,1
614,"槏","염",,0
615,"歉","겸",,1
616,"箝","겸",,1
617,"縑","겸",,1
618,"蒹","겸",,1
619,"謙","겸",,1
620,"鉗","겸",,1
621,"鎌","겸",,1
622,"黚","겸",,1
623,"鼸","겸",,1
624,"亰","경",,1
625,"俓","경",,1
626,"倞","경",,1
627,"傹","경",,1
628,"傾","경",,1
629,"儆","경",,1
630,"冂","경",,1
631,"冏","경",,1
632,"剄","경",,1
633,"剠","경",,1
634,"勁","경",,1
635,"勍","경",,1
636,"卿","경",,1
637,"哽","경",,1
638,"囧","경",,1
639,"坰","경",,1
640,"埂","경",,1
641,"境","경",,1
642,"巠","경",,1
643,"幜","경",,1
644,"庚","경",,1
645,"徑","경",,1
646,"惸","경",,1
647,"憬","경",,1
648,"憼","경",,1
649,"扃","경",,1
650,"挭","경",,1
651,"擎","경",,1
652,"擏","경",,1
653,"暻","경",,1
654,"曔","경",,1
655,"桱","경",,1
656,"梗","경",,1
657,"檠","경",,1
658,"檾","경",,1
659,"浭","경",,1
660,"涇","경",,1
661,"滰","경",,1
662,"漀","경",,1
663,"炅","경",,1
664,"烱","경",,1
665,"烴","경",,1
666,"焭","경",,1
667,"煢","경",,1
668,"熲","경",,1
669,"燛","경",,1
670,"璄","경",,1
671,"璚","경",,1
672,"璟","경",,1
673,"璥","경",,1
674,"瓊","경",,1
675,"畊","경",,1
676,"痙","경",,1
677,"硬","경",,1
678,"硻","경",,1
679,"磬","경",,1
680,"竟","경",,1
681,"競","경",,1
682,"竸","경",,1
683,"絅","경",,1
684,"綆","경",,1
685,"經","경",,1
686,"罄","경",,1
687,"耕","경",,1
688,"耿","경",,1
689,"脛","경",,1
690,"苘","경",,1
691,"莖","경",,1
692,"藑","경",,1
693,"褧","경",,1
694,"誙","경",,1
695,"謦","경",,1
696,"警","경",,1
697,"輕","경",,1
698,"逕","경",,1
699,"郠","경",,1
700,"鏡","경",,1
701,"鞕","경",,1
702,"頃","경",,1
703,"頸","경",,1
704,"顈","경",,1
705,"駉","경",,1
706,"驚","경",,1
707,"鯁","경",,1
708,"鯨","경",,1
709,"鵛","경",,1
710,"鶊","경",,1
711,"麖","경",,1
712,"黥","경",,1
713,"係","계",,1
714,"呇","계",,1
715,"啓","계",,1
716,"堦","계",,1
717,"堺","계",,1
718,"契","계",,1
719,"契","글",,0
720,"契","설",,0
721,"季","계",,1
722,"屆","계",,1
723,"嵠","계",,1
724,"悸","계",,1
725,"戒","계",,1
726,"挈","계",,1
727,"挈","설",,0
728,"昋","계",,1
729,"桂","계",,1
730,"械","계",,1
731,"棨","계",,1
732,"洎","계",,1
733,"溎","계",,1
734,"溎","연",,0
735,"溪","계",,1
736,"瀱","계",,1
737,"烓","계",,1
738,"界","계",,1
739,"瘈","계",,1
740,"癸","계",,1
741,"磎","계",,1
742,"禊","계",,1
743,"系","계",,1
744,"綮","계",,1
745,"縘","계",,1
746,"繫","계",,1
747,"繼","계",,1
748,"罽","계",,1
749,"薊","계",,1
750,"計","계",,1
751,"誡","계",,1
752,"谿","계",,1
753,"階","계",,1
754,"雞","계",,1
755,"髻","계",,1
756,"鷄","계",,1
757,"估","고",,1
758,"凅","고",,1
759,"刳","고",,1
760,"叩","고",,1
761,"告","고",,1
762,"呱","고",,1
763,"固","고",,1
764,"夰","고",,1
765,"夰","호",,0
766,"姑","고",,1
767,"婟","고",,1
768,"孤","고",,1
769,"尻","고",,1
770,"崓","고",,1
771,"庫","고",,1
772,"拷","고",,1
773,"攷","고",,1
774,"故","고",,1
775,"敲","고",,1
776,"暠","고",,1
777,"杲","고",,1
778,"杲","호",,0
779,"枯","고",,1
780,"栲","고",,1
781,"槀","고",,1
782,"槁","고",,1
783,"橭","고",,1
784,"櫜","고",,1
785,"沽","고",,1
786,"牯","고",,1
787,"痼","고",,1
788,"皋","고",,1
789,"皐","고",,1
790,"盬","고",,1
791,"瞽","고",,1
792,"稁","고",,1
793,"稿","고",,1
794,"箍","고",,1
795,"篙","고",,1
796,"糕","고",,1
797,"罟","고",,1
798,"羔","고",,1
799,"羖","고",,1
800,"翺","고",,1
801,"考","고",,1
802,"股","고",,1
803,"胯","고",,1
804,"膏","고",,1
805,"苦","고",,1
806,"苽","고",,1
807,"菰","고",,1
808,"藁","고",,1
809,"蠱","고",,1
810,"袴","고",,1
811,"觚","고",,1
812,"詁","고",,1
813,"誥","고",,1
814,"辜","고",,1
815,"郜","고",,1
816,"酤","고",,1
817,"鈷","고",,1
818,"錮","고",,1
819,"雇","고",,1
820,"靠","고",,1
821,"顧","고",,1
822,"鴣","고",,1
823,"鷱","고",,1
824,"鼓","고",,1
825,"鼔","고",,1
826,"哭","곡",,1
827,"嚳","곡",,1
828,"峼","곡",,1
829,"峼","호",,0
830,"斛","곡",,1
831,"曲","곡",,1
832,"梏","곡",,1
833,"槲","곡",,1
834,"穀","곡",,1
835,"縠","곡",,1
836,"觳","곡",,1
837,"谷","곡",,1
838,"轂","곡",,1
839,"鵠","곡",,1
840,"丨","곤",,1
841,"困","곤",,1
842,"坤","곤",,1
843,"堃","곤",,1
844,"崐","곤",,1
845,"崑","곤",,1
846,"悃","곤",,1
847,"捆","곤",,1
848,"昆","곤",,1
849,"梱","곤",,1
850,"棍","곤",,1
851,"滾","곤",,1
852,"琨","곤",,1
853,"璭","곤",,1
854,"緄","곤",,1
855,"衮","곤",,1
856,"袞","곤",,1
857,"裍","곤",,1
858,"褌","곤",,1
859,"錕","곤",,1
860,"閫","곤",,1
861,"髡","곤",,1
862,"鯤","곤",,1
863,"鵾","곤",,1
864,"鶤","곤",,1
865,"齫","곤",,1
866,"搰","골",,1
867,"榾","골",,1
868,"汨","골",,1
869,"汩","골",,1
870,"汩","율",,0
871,"滑","골",,1
872,"滑","활",,0
873,"骨","골",,1
874,"鶻","골",,1
875,"供","공",,1
876,"倥","공",,1
877,"公","공",,1
878,"共","공",,1
879,"功","공",,1
880,"孔","공",,1
881,"崆","공",,1
882,"工","공",,1
883,"廾","공",,1
884,"恐","공",,1
885,"恭","공",,1
886,"拱","공",,1
887,"控","공",,1
888,"攻","공",,1
889,"栱","공",,1
890,"槓","공",,1
891,"灨","공",,1
892,"珙","공",,1
893,"珙","홍",,0
894,"空","공",,1
895,"箜","공",,1
896,"羾","공",,1
897,"蚣","공",,1
898,"蛩","공",,1
899,"蛬","공",,1
900,"貢","공",,1
901,"贛","공",,1
902,"跫","공",,1
903,"釭","공",,1
904,"鞏","공",,1
905,"龔","공",,1
906,"串","곶",,1
907,"串","관",,0
908,"侉","과",,1
909,"堝","과",,1
910,"夥","과",,1
911,"夸","과",,1
912,"姱","과",,1
913,"寡","과",,1
914,"戈","과",,1
915,"撾","과",,1
916,"敤","과",,1
917,"果","과",,1
918,"猓","과",,1
919,"瓜","과",,1
920,"科","과",,1
921,"稞","과",,1
922,"窠","과",,1
923,"菓","과",,1
924,"蝌","과",,1
925,"裹","과",,1
926,"誇","과",,1
927,"課","과",,1
928,"跨","과",,1
929,"踝","과",,1
930,"過","과",,1
931,"銙","과",,1
932,"鍋","과",,1
933,"顆","과",,1
934,"騍","과",,1
935,"廓","곽",,1
936,"廓","확",,0
937,"椁","곽",,1
938,"槨","곽",,1
939,"癨","곽",,1
940,"藿","곽",,1
941,"郭","곽",,1
942,"钁","곽",,1
943,"霍","곽",,1
944,"鞹","곽",,1
945,"丱","관",,1
946,"倌","관",,1
947,"冠","관",,1
948,"官","관",,1
949,"寛","관",,1
950,"寬","관",,1
951,"慣","관",,1
952,"梡","관",,1
953,"梡","완",,0
954,"棺","관",,1
955,"款","관",,1
956,"涫","관",,1
957,"灌","관",,1
958,"爟","관",,1
959,"琯","관",,1
960,"瓘","관",,1
961,"盥","관",,1
962,"祼","관",,1
963,"窾","관",,1
964,"筦","관",,1
965,"管","관",,1
966,"綰","관",,1
967,"罐","관",,1
968,"舘","관",,1
969,"菅","관",,1
970,"觀","관",,1
971,"貫","관",,1
972,"輨","관",,1
973,"錧","관",,1
974,"鑵","관",,1
975,"關","관",,1
976,"雚","관",,1
977,"顴","관",,1
978,"館","관",,1
979,"髖","관",,1
980,"鱹","관",,1
981,"鸛","관",,1
982,"佸","괄",,1
983,"刮","괄",,1
984,"恝","괄",,1
985,"括","괄",,1
986,"栝","괄",,1
987,"筈","괄",,1
988,"聒","괄",,1
989,"适","괄",,1
990,"髺","괄",,1
991,"鴰","괄",,1
992,"侊","광",,1
993,"僙","광",,1
994,"光","광",,1
995,"匡","광",,1
996,"垙","광",,1
997,"壙","광",,1
998,"姯","광",,1
999,"広","광",,1
1000,"廣","광",,1
1001,"恇","광",,1
1002,"懬","광",,1
1003,"撗","광",,1
1004,"曠","광",,1
1005,"桄","광",,1
1006,"框","광",,1
1007,"洭","광",,1
1008,"洸","광",,1
1009,"炚","광",,1
1010,"炛","광",,1
1011,"爌","광",,1
1012,"狂","광",,1
1013,"獷","광",,1
1014,"珖","광",,1
1015,"硄","광",,1
1016,"磺","광",,1
1017,"礦","광",,1
1018,"筐","광",,1
1019,"絖","광",,1
1020,"纊","광",,1
1021,"胱","광",,1
1022,"茪","광",,1
1023,"誆","광",,1
1024,"誑","광",,1
1025,"銧","광",,1
1026,"鑛","광",,1
1027,"卦","괘",,1
1028,"咼","괘",,1
1029,"挂","괘",,1
1030,"掛","괘",,1
1031,"絓","괘",,1
1032,"罣","괘",,1
1033,"罫","괘",,1
1034,"詿","괘",,1
1035,"乖","괴",,1
1036,"傀","괴",,1
1037,"塊","괴",,1
1038,"壞","괴",,1
1039,"媿","괴",,1
1040,"廥","괴",,1
1041,"怪","괴",,1
1042,"愧","괴",,1
1043,"拐","괴",,1
1044,"槐","괴",,1
1045,"瑰","괴",,1
1046,"璝","괴",,1
1047,"蒯","괴",,1
1048,"襘","괴",,1
1049,"魁","괴",,1
1050,"馘","괵",,1
1051,"咣","굉",,1
1052,"宏","굉",,1
1053,"浤","굉",,1
1054,"紘","굉",,1
1055,"肱","굉",,1
1056,"觥","굉",,1
1057,"訇","굉",,1
1058,"轟","굉",,1
1059,"鍠","굉",,1
1060,"鍠","황",,0
1061,"閎","굉",,1
1062,"交","교",,1
1063,"佼","교",,1
1064,"僑","교",,1
1065,"咬","교",,1
1066,"喬","교",,1
1067,"嘄","교",,1
1068,"嘐","교",,1
1069,"噭","교",,1
1070,"嚙","교",,1
1071,"姣","교",,1
1072,"嬌","교",,1
1073,"嬓","교",,1
1074,"嵺","교",,1
1075,"嶠","교",,1
1076,"巧","교",,1
1077,"恔","교",,1
1078,"恔","효",,0
1079,"憍","교",,1
1080,"撟","교",,1
1081,"攪","교",,1
1082,"敎","교",,1
1083,"教","교",,1
1084,"晈","교",,1
1085,"暞","교",,1
1086,"曒","교",,1
1087,"校","교",,1
1088,"榷","교",,1
1089,"橋","교",,1
1090,"燆","교",,1
1091,"狡","교",,1
1092,"珓","교",,1
1093,"皎","교",,1
1094,"皦","교",,1
1095,"矯","교",,1
1096,"磽","교",,1
1097,"穚","교",,1
1098,"窖","교",,1
1099,"絞","교",,1
1100,"翹","교",,1
1101,"膠","교",,1
1102,"蕎","교",,1
1103,"蛟","교",,1
1104,"趫","교",,1
1105,"蹻","교",,1
1106,"較","교",,1
1107,"轎","교",,1
1108,"郊","교",,1
1109,"鄗","교",,1
1110,"鄗","호",,0
1111,"鄡","교",,1
1112,"鉸","교",,1
1113,"餃","교",,1
1114,"驕","교",,1
1115,"骹","교",,1
1116,"鮫","교",,1
1117,"鵁","교",,1
1118,"齩","교",,1
1119,"丘","구",,1
1120,"久","구",,1
1121,"九","구",,1
1122,"仇","구",,1
1123,"佝","구",,1
1124,"俅","구",,1
1125,"俱","구",,1
1126,"傴","구",,1
1127,"具","구",,1
1128,"冓","구",,1
1129,"劬","구",,1
1130,"勼","구",,1
1131,"勾","구",,1
1132,"匶","구",,1
1133,"區","구",,1
1134,"厹","구",,1
1135,"口","구",,1
1136,"句","구",,1
1137,"句","귀",,0
1138,"叴","구",,1
1139,"咎","구",,1
1140,"嘔","구",,1
1141,"坵","구",,1
1142,"坸","구",,1
1143,"垢","구",,1
1144,"夠","구",,1
1145,"姤","구",,1
1146,"媾","구",,1
1147,"嫗","구",,1
1148,"寇","구",,1
1149,"屨","구",,1
1150,"岣","구",,1
1151,"嶇","구",,1
1152,"廏","구",,1
1153,"廐","구",,1
1154,"彀","구",,1
1155,"懼","구",,1
1156,"戵","구",,1
1157,"扣","구",,1
1158,"拘","구",,1
1159,"捄","구",,1
1160,"搆","구",,1
1161,"摳","구",,1
1162,"救","구",,1
1163,"昫","구",,1
1164,"朹","구",,1
1165,"枸","구",,1
1166,"柩","구",,1
1167,"梂","구",,1
1168,"椇","구",,1
1169,"榘","구",,1
1170,"構","구",,1
1171,"歐","구",,1
1172,"毆","구",,1
1173,"毬","구",,1
1174,"求","구",,1
1175,"溝","구",,1
1176,"漚","구",,1
1177,"灈","구",,1
1178,"灸","구",,1
1179,"煹","구",,1
1180,"狗","구",,1
1181,"玖","구",,1
1182,"玽","구",,1
1183,"球","구",,1
1184,"璆","구",,1
1185,"甌","구",,1
1186,"疚","구",,1
1187,"痀","구",,1
1188,"癯","구",,1
1189,"瞿","구",,1
1190,"矩","구",,1
1191,"究","구",,1
1192,"窶","구",,1
1193,"竘","구",,1
1194,"篝","구",,1
1195,"糗","구",,1
1196,"絿","구",,1
1197,"耇","구",,1
1198,"耈","구",,1
1199,"耉","구",,1
1200,"胊","구",,1
1201,"臼","구",,1
1202,"舅","구",,1
1203,"舊","구",,1
1204,"苟","구",,1
1205,"蒟","구",,1
1206,"蚯","구",,1
1207,"衢","구",,1
1208,"裘","구",,1
1209,"覯","구",,1
1210,"詬","구",,1
1211,"謳","구",,1
1212,"購","구",,1
1213,"軀","구",,1
1214,"逑","구",,1
1215,"遘","구",,1
1216,"邱","구",,1
1217,"釦","구",,1
1218,"鉤","구",,1
1219,"銶","구",,1
